,Type Water Body,State Name,Temperature (C) - Min,Temperature (C) - Max,Dissolved - Min,Dissolved - Max,pH - Min,pH - Max,BOD (mg/L) - Min,BOD (mg/L) - Max,Total Coliform (MPN/100ml) - Min,Total Coliform (MPN/100ml) - Max
111,CANAL,GOA,27.0,31.0,4.2,8.1,6.1,7.7,1.2,2.0,1300.0,4900.0
112,CANAL,GUJARAT,26.0,30.0,4.6,7.3,7.6,8.1,0.5,1.1,6.0,47.0
113,RIVER,HIMACHAL PRADESH,8.5,15.0,8.5,9.0,7.3,8.2,1.0,1.0,2.0,12.0
114,RIVER,HIMACHAL PRADESH,8.6,14.5,8.6,9.4,7.5,8.5,1.0,1.0,2.0,94.0
115,RIVER,HIMACHAL PRADESH,8.4,14.5,8.4,9.4,7.2,8.4,1.0,1.0,2.0,110.0
116,RIVER,HIMACHAL PRADESH,8.3,23.0,8.3,9.8,7.1,8.3,1.0,1.0,2.0,2.0
117,RIVER,HIMACHAL PRADESH,8.2,23.0,8.2,9.7,7.1,8.2,1.0,1.0,2.0,2.0
118,RIVER,HIMACHAL PRADESH,8.9,14.0,8.9,9.5,7.4,8.3,1.0,1.0,2.0,2.0
119,RIVER,HIMACHAL PRADESH,8.9,14.0,8.9,9.5,7.1,8.2,1.0,1.0,2.0,5.0
120,RIVER,HIMACHAL PRADESH,9.0,25.0,9.0,9.6,7.1,7.7,2.0,2.0,8.0,330.0
121,RIVER,HIMACHAL PRADESH,8.2,21.0,8.2,9.7,7.3,8.1,1.0,1.0,2.0,2.0
122,RIVER,HIMACHAL PRADESH,8.5,21.0,8.5,9.6,7.2,8.0,1.0,1.0,2.0,2.0
123,RIVER,HIMACHAL PRADESH,8.2,26.0,8.2,9.4,7.0,7.9,1.0,1.0,2.0,2.0
124,RIVER,PUNJAB,8.9,26.0,8.9,10.2,7.1,7.7,2.0,2.0,11.0,540.0
125,DRAIN,ANDHRA PRADESH,22.0,25.0,0.3,1.8,6.9,7.9,17.8,37.0,2300.0,5200.0
126,DRAIN,ANDHRA PRADESH,24.0,26.0,4.9,6.9,6.7,7.6,2.4,3.6,75.0,460.0
127,WATER TREATMENT PLANT (RAW WATER),HARYANA,22.0,30.0,7.0,7.7,7.0,7.8,1.0,1.0,1900.0,2900.0
128,WATER TREATMENT PLANT (RAW WATER),HARYANA,26.0,32.0,7.0,7.3,7.2,8.0,1.0,1.0,2700.0,5100.0
129,DRAIN,HIMACHAL PRADESH,12.0,29.0,8.2,9.3,6.9,8.2,1.0,1.0,130.0,540.0
130,DRAIN,HIMACHAL PRADESH,1.0,13.0,7.5,8.9,6.8,8.0,1.0,1.0,58.0,280.0
131,DRAIN,HIMACHAL PRADESH,12.0,28.0,3.9,6.1,7.6,8.0,1.0,20.0,26.0,1600.0
132,DRAIN,HIMACHAL PRADESH,11.0,26.0,0.3,6.2,7.1,8.1,1.2,90.0,130.0,1600.0
133,DRAIN,HIMACHAL PRADESH,8.0,15.0,7.8,9.2,7.5,8.3,1.0,1.0,26.0,1600.0
134,DRAIN,HIMACHAL PRADESH,9.0,19.0,7.1,8.2,7.9,8.4,1.0,1.0,20.0,1600.0
135,DRAIN,HIMACHAL PRADESH,8.0,13.0,9.4,9.6,7.6,8.3,1.0,1.0,7.0,1600.0
136,DRAIN,HIMACHAL PRADESH,19.0,28.0,7.6,8.5,6.6,7.9,1.0,2.3,21.0,47.0
137,DRAIN,HIMACHAL PRADESH,5.0,18.0,7.3,8.3,7.1,8.5,1.0,1.0,140.0,540.0
138,DRAIN,HIMACHAL PRADESH,8.0,14.0,7.6,9.3,7.6,8.3,1.0,1.0,2.0,1600.0
139,DRAIN,HIMACHAL PRADESH,8.0,15.0,8.8,9.4,7.5,8.3,1.0,1.0,23.0,3500.0
140,DRAIN,HIMACHAL PRADESH,8.0,15.0,8.8,9.4,7.5,8.4,1.0,1.0,33.0,3500.0
141,DRAIN,HIMACHAL PRADESH,10.0,16.0,8.5,9.1,7.0,8.1,1.0,1.0,47.0,1600.0
142,DRAIN,HIMACHAL PRADESH,2.0,18.0,7.8,8.8,7.2,8.0,1.0,1.0,140.0,920.0
143,DRAIN,HIMACHAL PRADESH,8.0,13.0,9.0,9.5,7.0,8.2,1.0,1.0,94.0,3500.0
144,DRAIN,HIMACHAL PRADESH,19.0,28.0,7.5,8.5,6.5,8.1,1.0,2.1,17.0,70.0
145,DRAIN,HIMACHAL PRADESH,10.0,15.0,7.4,7.8,7.9,8.4,1.0,1.8,21.0,350.0
146,DRAIN,HIMACHAL PRADESH,9.0,23.0,6.4,8.1,5.9,8.3,1.5,12.0,540.0,1600.0
147,DRAIN,HIMACHAL PRADESH,8.0,13.0,9.3,9.7,7.5,8.3,1.0,1.0,21.0,1600.0
148,DRAIN,HIMACHAL PRADESH,3.0,12.0,8.0,9.2,6.6,8.5,1.0,1.0,84.0,540.0
149,DRAIN,HIMACHAL PRADESH,8.0,15.0,8.8,9.7,7.6,8.2,1.0,1.0,94.0,5400.0
150,DRAIN,HIMACHAL PRADESH,8.0,14.0,8.5,9.7,7.5,8.2,1.0,1.0,63.0,9200.0
151,DRAIN,HIMACHAL PRADESH,9.0,19.0,7.0,8.2,7.6,8.4,1.0,1.0,26.0,1600.0
