,Type Water Body,State Name,Temperature (C) - Min,Temperature (C) - Max,Dissolved - Min,pH - Min,pH - Max,water_quality
108,CANAL,DELHI,17.0,27.0,0.15,7.1,7.8,0
109,CANAL,GOA,27.0,31.0,5.0,6.1,7.9,2
110,CANAL,GOA,27.0,31.0,4.5,6.4,7.8,2
111,CANAL,GOA,27.0,31.0,4.2,6.1,7.7,2
112,CANAL,GUJARAT,26.0,30.0,4.6,7.6,8.1,2
113,RIVER,HIMACHAL PRADESH,8.5,15.0,8.5,7.3,8.2,1
114,RIVER,HIMACHAL PRADESH,8.6,14.5,8.6,7.5,8.5,2
115,RIVER,HIMACHAL PRADESH,8.4,14.5,8.4,7.2,8.4,2
116,RIVER,HIMACHAL PRADESH,8.3,23.0,8.3,7.1,8.3,1
117,RIVER,HIMACHAL PRADESH,8.2,23.0,8.2,7.1,8.2,1
118,RIVER,HIMACHAL PRADESH,8.9,14.0,8.9,7.4,8.3,1
119,RIVER,HIMACHAL PRADESH,8.9,14.0,8.9,7.1,8.2,1
120,RIVER,HIMACHAL PRADESH,9.0,25.0,9.0,7.1,7.7,2
121,RIVER,HIMACHAL PRADESH,8.2,21.0,8.2,7.3,8.1,1
122,RIVER,HIMACHAL PRADESH,8.5,21.0,8.5,7.2,8.0,1
123,RIVER,HIMACHAL PRADESH,8.2,26.0,8.2,7.0,7.9,1
124,RIVER,PUNJAB,8.9,26.0,8.9,7.1,7.7,2
125,DRAIN,ANDHRA PRADESH,22.0,25.0,0.3,6.9,7.9,0
126,DRAIN,ANDHRA PRADESH,24.0,26.0,4.9,6.7,7.6,0
127,WATER TREATMENT PLANT (RAW WATER),HARYANA,22.0,30.0,7.0,7.0,7.8,2
128,WATER TREATMENT PLANT (RAW WATER),HARYANA,26.0,32.0,7.0,7.2,8.0,0
129,DRAIN,HIMACHAL PRADESH,12.0,29.0,8.2,6.9,8.2,2
130,DRAIN,HIMACHAL PRADESH,1.0,13.0,7.5,6.8,8.0,2
131,DRAIN,HIMACHAL PRADESH,12.0,28.0,3.9,7.6,8.0,0
132,DRAIN,HIMACHAL PRADESH,11.0,26.0,0.3,7.1,8.1,0
133,DRAIN,HIMACHAL PRADESH,8.0,15.0,7.8,7.5,8.3,2
134,DRAIN,HIMACHAL PRADESH,9.0,19.0,7.1,7.9,8.4,2
135,DRAIN,HIMACHAL PRADESH,8.0,13.0,9.4,7.6,8.3,2
136,DRAIN,HIMACHAL PRADESH,19.0,28.0,7.6,6.6,7.9,2
137,DRAIN,HIMACHAL PRADESH,5.0,18.0,7.3,7.1,8.5,2
138,DRAIN,HIMACHAL PRADESH,8.0,14.0,7.6,7.6,8.3,2
139,DRAIN,HIMACHAL PRADESH,8.0,15.0,8.8,7.5,8.3,2
140,DRAIN,HIMACHAL PRADESH,8.0,15.0,8.8,7.5,8.4,2
141,DRAIN,HIMACHAL PRADESH,10.0,16.0,8.5,7.0,8.1,2
142,DRAIN,HIMACHAL PRADESH,2.0,18.0,7.8,7.2,8.0,2
143,DRAIN,HIMACHAL PRADESH,8.0,13.0,9.0,7.0,8.2,2
144,DRAIN,HIMACHAL PRADESH,19.0,28.0,7.5,6.5,8.1,2
145,DRAIN,HIMACHAL PRADESH,10.0,15.0,7.4,7.9,8.4,2
146,DRAIN,HIMACHAL PRADESH,9.0,23.0,6.4,5.9,8.3,0
147,DRAIN,HIMACHAL PRADESH,8.0,13.0,9.3,7.5,8.3,2
148,DRAIN,HIMACHAL PRADESH,3.0,12.0,8.0,6.6,8.5,2
149,DRAIN,HIMACHAL PRADESH,8.0,15.0,8.8,7.6,8.2,0
150,DRAIN,HIMACHAL PRADESH,8.0,14.0,8.5,7.5,8.2,0
151,DRAIN,HIMACHAL PRADESH,9.0,19.0,7.0,7.6,8.4,2
152,DRAIN,HIMACHAL PRADESH,3.0,18.0,7.6,7.2,7.9,2
153,DRAIN,HIMACHAL PRADESH,8.0,11.0,4.3,7.4,8.3,0
154,DRAIN,HIMACHAL PRADESH,7.0,9.0,7.2,7.7,8.3,0
155,DRAIN,HIMACHAL PRADESH,6.0,8.0,6.8,7.7,8.3,2
156,DRAIN,MAHARASHTRA,26.0,36.0,4.4,7.2,8.1,0
157,DRAIN,MAHARASHTRA,20.0,29.0,0.3,7.4,8.0,0
158,DRAIN,MAHARASHTRA,26.0,31.0,7.0,6.0,7.2,2
159,DRAIN,ODISHA,23.0,31.0,1.2,6.9,7.7,0
160,STP,TAMIL NADU,25.0,39.0,0.3,6.7,7.9,0
161,DRAIN,TELANGANA,25.0,29.0,1.6,8.5,11.2,0
162,DRAIN,TELANGANA,25.0,28.0,2.8,7.5,8.8,0
163,STP,TELANGANA,25.0,31.0,0.9,6.9,8.2,0
164,WATER TREATMENT PLANT (RAW WATER),UTTAR PRADESH,18.0,26.0,0.3,7.1,7.5,0
